year	sexo	estud_gr	edad_gr	min_t	p20_t	p40_t	p60_t	p80_t	max_t
1997	6	3	7	0	0	0	0	3	33
1997	6	3	8	0	0	0	0	0	0
1997	6	3	99	5	17	20	24	27	39
1997	6	99	1	24	44	53	60	65	80
1997	6	99	2	20	34	42	50	53	71
1997	6	99	3	14	26	32	40	46	58
1997	6	99	4	12	22	25	30	36	48
1997	6	99	5	10	18	20	25	28	45
1997	6	99	6	5	10	15	18	21	43
1997	6	99	7	1	4	8	12	18	46
1997	6	99	8	0	0	0	0	5	30
1997	6	99	99	13	21	26	29	37	52
1997	99	1	1	7	33	47	54	70	100
1997	99	1	2	0	20	30	35	43	68
1997	99	1	3	0	11	27	33	40	64
1997	99	1	4	0	13	18	24	37	59
1997	99	1	5	6	12	16	19	28	41
1997	99	1	6	2	8	11	14	21	35
1997	99	1	7	1	6	8	11	15	32
1997	99	1	8	0	0	0	0	4	23
1997	99	1	99	5	10	14	18	27	43
1997	99	2	1	20	34	42	51	57	72
1997	99	2	2	13	23	30	37	42	53
1997	99	2	3	9	17	21	26	33	46
1997	99	2	4	8	13	17	20	24	38
1997	99	2	5	6	9	14	17	20	26
1997	99	2	6	2	6	10	11	14	25
1997	99	2	7	0	2	5	9	14	25
1997	99	2	8	0	0	0	0	0	67
1997	99	2	99	10	14	20	24	26	40
1997	99	3	1	0	0	0	0	0	100
1997	99	3	2	16	39	46	57	63	94
1997	99	3	3	6	23	30	38	45	69
1997	99	3	4	2	11	14	18	22	37
1997	99	3	5	2	4	6	7	9	15
1997	99	3	6	0	0	2	3	5	13
1997	99	3	7	0	0	0	3	5	18
1997	99	3	8	0	0	0	0	0	11
1997	99	3	99	4	13	15	18	19	34
1997	99	99	1	23	34	45	50	56	78
1997	99	99	2	16	25	32	38	44	57
1997	99	99	3	10	20	24	28	35	49
1997	99	99	4	9	14	17	20	23	40
1997	99	99	5	7	10	14	15	19	30
1997	99	99	6	3	7	10	13	16	25
1997	99	99	7	2	6	7	11	13	28
1997	99	99	8	0	0	0	0	3	18
1997	99	99	99	8	13	18	21	27	38
1998	1	1	1	0	23	31	45	57	88
1998	1	1	2	0	12	19	30	41	64
1998	1	1	3	0	9	14	23	29	59
1998	1	1	4	0	8	14	19	25	55
1998	1	1	5	1	5	9	13	19	31
1998	1	1	6	1	5	7	10	15	26
1998	1	1	7	1	5	7	10	13	24
1998	1	1	8	0	0	0	0	0	30
1998	1	1	99	2	6	10	13	16	31
1998	1	2	1	6	20	29	38	45	80
1998	1	2	2	2	13	20	25	33	48
1998	1	2	3	1	7	11	16	23	39
1998	1	2	4	2	4	9	11	17	29
1998	1	2	5	1	4	5	9	10	19
1998	1	2	6	0	3	5	7	10	16
1998	1	2	7	0	1	5	8	12	31
1998	1	2	8	0	0	0	0	0	0
1998	1	2	99	4	8	12	14	16	31
1998	1	3	1	0	0	0	0	100	100
1998	1	3	2	10	21	42	56	68	100
1998	1	3	3	7	16	23	28	36	58
1998	1	3	4	0	3	7	12	19	42
1998	1	3	5	0	1	2	4	5	23
1998	1	3	6	0	0	1	3	5	13
1998	1	3	7	0	0	0	2	6	18
1998	1	3	8	0	0	0	0	0	0
1998	1	3	99	3	7	9	11	15	22
1998	1	99	1	5	21	30	38	44	75
1998	1	99	2	5	15	22	27	36	47
1998	1	99	3	3	10	15	19	24	39
1998	1	99	4	3	6	11	14	18	32
1998	1	99	5	1	4	7	9	11	23
1998	1	99	6	0	4	5	9	12	20
1998	1	99	7	2	5	6	9	12	22
1998	1	99	8	0	0	0	0	0	12
1998	1	99	99	4	7	11	13	16	29
1998	6	1	1	0	42	55	69	87	100
1998	6	1	2	0	20	35	53	66	100
1998	6	1	3	0	15	31	42	59	79
1998	6	1	4	0	16	29	37	47	100
1998	6	1	5	7	20	24	30	39	67
1998	6	1	6	7	12	17	21	28	55
1998	6	1	7	0	4	8	11	19	56
1998	6	1	8	0	0	0	0	0	19
1998	6	1	99	8	15	19	24	32	58
1998	6	2	1	20	39	48	55	66	78
1998	6	2	2	17	30	37	45	50	69
1998	6	2	3	15	21	27	35	41	54
1998	6	2	4	9	20	24	32	35	58
1998	6	2	5	6	16	22	26	33	50
1998	6	2	6	0	12	14	19	27	54
1998	6	2	7	0	0	7	15	26	100
1998	6	2	8	0	0	0	0	0	65
1998	6	2	99	16	22	28	33	38	56
1998	6	3	1	0	0	0	0	47	100
1998	6	3	2	20	40	46	55	65	82
1998	6	3	3	11	21	28	40	45	73
1998	6	3	4	2	14	19	22	28	57
1998	6	3	5	0	5	8	11	14	28
1998	6	3	6	0	0	1	5	8	14
1998	6	3	7	0	0	0	0	5	21
1998	6	3	8	0	0	0	0	0	0
1998	6	3	99	9	15	19	24	27	38
1998	6	99	1	17	40	49	55	65	85
1998	6	99	2	22	33	39	46	55	64
1998	6	99	3	16	22	30	38	43	57
1998	6	99	4	7	20	25	29	35	50
1998	6	99	5	9	15	19	24	29	45
1998	6	99	6	7	10	15	18	23	40
1998	6	99	7	2	5	8	11	17	49
1998	6	99	8	0	0	0	0	0	35
1998	6	99	99	13	19	23	28	34	51
1998	99	1	1	0	34	41	51	65	100
1998	99	1	2	0	17	25	37	48	65
1998	99	1	3	0	15	21	27	36	63
1998	99	1	4	0	14	18	24	30	59
1998	99	1	5	5	11	14	18	24	38
1998	99	1	6	3	7	10	13	19	35
1998	99	1	7	1	6	7	9	14	36
1998	99	1	8	0	0	0	0	0	18
1998	99	1	99	5	9	12	16	21	37
1998	99	2	1	15	29	36	45	54	74
1998	99	2	2	13	21	27	34	40	54
1998	99	2	3	8	13	18	24	31	46
1998	99	2	4	6	11	15	19	21	39
1998	99	2	5	5	9	11	14	18	26
1998	99	2	6	2	6	9	11	13	17
1998	99	2	7	0	3	7	10	13	27
1998	99	2	8	0	0	0	0	0	65
1998	99	2	99	9	13	18	21	23	40
1998	99	3	1	0	0	0	0	62	100
1998	99	3	2	16	38	46	54	63	81
1998	99	3	3	10	21	29	35	40	59
